Year,County,Region,Type of Forest,Clear-cut Areal,3-10 years  Areal,11 - 20 years  Areal,21 - 30 years  Areal,31 - 40 years  Areal,41 - 60 years  Areal,61 - 80 years  Areal,81 - 100 years  Areal,101 - 120 years  Areal,121 - 140 years  Areal,141+ years  Areal,Yearly growth,Average Age,Clear-cut Percent,3-10 years  Percent,11 - 20 years  Percent,21 - 30 years  Percent,31 - 40 years  Percent,41 - 60 years  Percent,61 - 80 years  Percent,81 - 100 years  Percent,101 - 120 years  Percent,121 - 140 years  Percent,141+ years  Percent,Old Forest 100 120 140*
2007,22 Västernorrlands län,Södra Norrland,Unprotected,82.4,125.1,191.6,232.3,221.9,235.4,122.8,138.1,148.4,103.3,73.4,5.92,54.1,4.9,7.5,11.4,13.9,13.2,14.1,7.3,8.2,8.9,6.2,4.4,10.6
2007,23 Jämtlands län,Södra Norrland,Unprotected,95.6,211.2,286.6,273,197.6,275.1,120,178,273.5,288.7,308.8,4.23,68.3,3.8,8.4,11.4,10.9,7.9,11,4.8,7.1,10.9,11.5,12.3,12.3
2007,24 Västerbottens län,Norra Norrland,Unprotected,123.3,239.4,302.9,326.3,242.6,499.2,331.5,245.2,231.8,222.7,207.7,3.73,60,4.1,8.1,10.2,11,8.2,16.8,11.2,8.2,7.8,7.5,7,7
2007,25 Norrbottens län,Norra Norrland,Unprotected,96.5,267.7,246.6,350.1,306.3,622.2,390.7,301.7,238.2,252.4,272.4,2.93,62.8,2.9,8,7.4,10.5,9.2,18.6,11.7,9,7.1,7.5,8.1,8.1
2008,01 Stockholms län,Svealand,Unprotected,17.3,17.7,17.9,34.3,31.6,42.1,43.8,28.7,23.8,8.5,12.5,7.11,56.3,6.2,6.4,6.4,12.3,11.4,15.1,15.7,10.3,8.6,3.1,4.5,16.2
2008,03 Uppsala län,Svealand,Unprotected,20,36.7,52.4,46.4,43.6,77.7,65.2,54.6,33,17,6.4,6.66,52.6,4.4,8.1,11.6,10.2,9.6,17.1,14.4,12.1,7.3,3.8,1.4,5.2
2008,04 Södermanlands län,Svealand,Unprotected,19.4,16.7,31,32.4,43,79.8,56.6,34.9,12.3,6.6,3.8,7.72,49.7,5.8,5,9.2,9.6,12.8,23.7,16.8,10.4,3.7,2,1.1,6.8
2008,05 Östergötlands län,Svealand,Unprotected,23.8,46.7,71.6,77.8,75.4,123,75.4,68,32.5,11.8,5.4,7.96,48,3.9,7.6,11.7,12.7,12.3,20.1,12.3,11.1,5.3,1.9,0.9,8.1
2008,06 Jönköpings län,Götaland,Unprotected,37.1,70,78.7,70.7,69.7,115.8,79.2,87.1,50.3,23.1,16.7,7.15,51.5,5.3,10,11.3,10.1,10,16.6,11.3,12.5,7.2,3.3,2.4,12.9
2008,07 Kronobergs län,Götaland,Unprotected,52.7,85.8,67.9,49.7,87.9,86.7,90,69.5,37.4,6.1,1.5,6.36,43.7,8.3,13.5,10.7,7.8,13.8,13.6,14.2,10.9,5.9,1,0.2,1.2
2008,08 Kalmar län,Götaland,Unprotected,27.1,59.6,60.8,88.6,66.2,127.5,121.3,69.6,49.7,20,5.8,7.22,51.4,3.9,8.6,8.7,12.7,9.5,18.3,17.4,10,7.1,2.9,0.8,10.8
2008,09 Gotlands län,Götaland,Unprotected,6.8,6,8.8,10.2,8.3,7.7,18.7,11,13.2,7.2,16.3,4.17,72,5.9,5.2,7.7,8.9,7.3,6.7,16.4,9.6,11.5,6.3,14.3,14.3
2008,10 Blekinge län,Götaland,Unprotected,7.6,21.2,15,20.6,22.3,24.9,30.8,12.1,5.7,1,0.4,8.34,42.9,4.7,13.1,9.3,12.8,13.8,15.4,19.1,7.5,3.5,0.6,0.2,4.3
2008,12 Skåne län,Götaland,Unprotected,22.9,24.5,44,36.5,35.6,85,50.6,38.5,25.5,8.4,2,8.24,49.3,6.1,6.6,11.8,9.8,9.5,22.8,13.5,10.3,6.8,2.2,0.5,9.5
2008,13 Hallands län,Götaland,Unprotected,11.7,29.6,21.3,22.2,34.6,58,59.8,34.6,15.4,5,1.2,8.3,51,4,10.1,7.3,7.6,11.8,19.8,20.4,11.8,5.2,1.7,0.4,7.3
2008,14 Västra Götalands län,Götaland,Unprotected,56,115.5,135,119.8,164.6,227.4,158.5,133.8,82.1,34.3,21.9,7.66,50.2,4.5,9.2,10.8,9.6,13.2,18.2,12.7,10.7,6.6,2.7,1.8,11.1
